"NombreCat","CodTip","Cantidad","Total"
"DETERGENTES                                       ",201607,1,102.789999
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201607,5,1293.58
"FIDEOS Y PASTAS                                   ",201607,530,6990.49
"COCOAS Y CHOCOLATES                               ",201607,13,1649.33
"GOLOSINAS - CARAMELOS                             ",201608,25,76.8
"AGUA MINERAL                                      ",201608,15,173.8488
"OTROS",201608,22,4124.139999
"GOLOSINAS                                         ",201608,1,13.86
"CERAS                                             ",201608,15,0
"JABON DE LAVAR                                    ",201608,7,0
"GOLOSINAS - GALLETAS                              ",201608,85,286.726998
"ARTICULOS DE LIMPIEZA DE COCINA                   ",201608,5,309.4
"ACEITES                                           ",201608,362,23037.74969
"YOGURT                                            ",201608,438,4365.2808
"BOCADITOS                                         ",201608,14,1061.13
"COMIDAS INSTANTANEAS                              ",201608,2,45.6
"DENTRIFICOS Y ENJUAGUES BUCALES                   ",201608,10,4639.24
"LAVAVAJILLAS Y SIMILARES                          ",201608,8,301.28
"SALSAS - CREMAS                                   ",201608,5,324
"HELADOS                                           ",201608,8,226.75
"LECHE Y DERIVADOS                                 ",201608,30,248.2522
"EMBUTIDOS                                         ",201608,191,355.326541
"CEREALES Y DERIVADOS DE LA SOYA                   ",201608,5,595.51
"HARINAS - MAIZENAS - SEMOLAS                      ",201608,10,324.87
"BEBIDAS GASEOSAS                                  ",201608,51,370.7772
"JUGOS                                             ",201608,51,493.161599
"ARTICULOS DE LIMPIEZA                             ",201608,38,652.4636
"GOLOSINAS - CHOCOLATES                            ",201608,14,406.04
"MANTEQUILLAS Y MARGARINAS                         ",201608,12,38.232
"AVENAS                                            ",201608,20,259.35
"PANES Y KEKES                                     ",201608,217,426.539998
"FIDEOS Y PASTAS                                   ",201608,431,9162.54
"LEJIAS                                            ",201608,125,1921.919999
"REHIDRATANTES                                     ",201608,20,151.8252
"REFRESCOS                                         ",201608,24,1446.72
"ENERGIZANTE                                       ",201608,12,36.285
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201608,3,619.008733
"JABON DE TOCADOR                                  ",201608,9,931.41
"DETERGENTES                                       ",201608,62,4402.6715
"ARROZ A GRANEL                                    ",201608,350,75.3844
"VELAS                                             ",201608,500,20000
"PAÑALES                                           ",201608,8,567.91
"POSTRES VARIOS                                    ",201608,12,77.300001
"OTROS",201609,10,550.660001
"CONDIMENTOS Y VINAGRES                            ",201609,80,389.12
"CEREALES Y DERIVADOS DE LA SOYA                   ",201609,37,168.340001
"LECHE Y DERIVADOS                                 ",201609,12,1470.3824
"ENSERES DE LIMPIEZA                               ",201609,28,295.14
"MANTEQUILLAS Y MARGARINAS                         ",201609,4,428.12
"CONSERVAS DE FRUTAS Y VERDURAS                    ",201609,18,68.0978
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201609,17,987.63
"COCINA                                            ",201609,12,22.1958
"FRUTOS Y ESPECIAS                                 ",201609,84,2011.34529
"AGUA MINERAL                                      ",201609,8,93.22
"AZUCAR                                            ",201609,630,70559.999999
"JUGOS                                             ",201609,8,160.113601
"HELADOS                                           ",201609,2,63.969999
"ACEITES                                           ",201609,124,8049.973368
"BOCADITOS                                         ",201609,44,267.6548
"GOLOSINAS - MARSHMALLOWS                          ",201609,3,84.96
"GOLOSINAS                                         ",201609,98,1073.56
"INFUSIONES                                        ",201609,17,168.187984
"GOLOSINAS - CARAMELOS                             ",201609,17,221.809999
"ENERGIZANTE                                       ",201609,2,76.46459
"JABON DE TOCADOR                                  ",201609,7,353.92
"FIDEOS Y PASTAS                                   ",201609,300,7403.6682
"ARTICULOS DE LIMPIEZA                             ",201609,4,200.23
"TOALLAS HIGIENICAS                                ",201609,50,3550
"GOLOSINAS - GALLETAS                              ",201609,137,1540.017603
"CERVEZAS                                          ",201609,3,194.990001
"ARTICULOS PARA EL HOGAR                           ",201609,100,370.94
"LEJIAS                                            ",201609,7,183.859999
"PANES Y KEKES                                     ",201609,90,396.590001
"DETERGENTES                                       ",201609,1,125.139999
"REHIDRATANTES                                     ",201609,6,45.81
"EMBUTIDOS                                         ",201609,296,555.784801
"BEBIDAS GASEOSAS                                  ",201609,29,117.056
"YOGURT                                            ",201609,100,1160.059998
"GOLOSINAS - CHOCOLATES                            ",201609,3,167.66
"INFUSIONES                                        ",201610,5,201.78
"POSTRES VARIOS                                    ",201610,12,32.4264
"CIGARROS                                          ",201610,2,245.18
"GUANTES                                           ",201610,408,1892.0592
"JUGOS                                             ",201610,12,286.0716
"GOLOSINAS                                         ",201610,5,277.21
"WHISKY                                            ",201610,1,397.17
"OTROS",201610,14,4723.320001
"JABON DE TOCADOR                                  ",201610,2,293.549999
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201610,11,1681.42
"GOLOSINAS - MARSHMALLOWS                          ",201610,2,56.64
"HELADOS                                           ",201610,1,23.919999
"AGUA MINERAL                                      ",201610,4,0
"JABON DE LAVAR                                    ",201610,30,1921.29
"LECHE Y DERIVADOS                                 ",201610,1,28.73
"COCOAS Y CHOCOLATES                               ",201610,128,5604.070003
"LAVAVAJILLAS Y SIMILARES                          ",201610,4,192.940001
"CONDIMENTOS Y VINAGRES                            ",201610,42,4317.230001
"MANTEQUILLAS Y MARGARINAS                         ",201610,54,531.396
"COMIDAS INSTANTANEAS                              ",201610,35,617.119999
"GOLOSINAS - CARAMELOS                             ",201610,10,246.8306
