"NombreCat","CodTip","Cantidad","Total"
"GOLOSINAS - CHOCOLATES                            ",201706,57,2066.429998
"TOALLAS HIGIENICAS                                ",201706,5,363.31
"ENSERES DE LIMPIEZA                               ",201706,19,783.31
"REHIDRATANTES                                     ",201706,6,75.1012
"FIDEOS Y PASTAS                                   ",201706,4,102.24
"CONSERVAS DE PESCADOS                             ",201706,2,166.5216
"AMBIENTADORES                                     ",201706,1,0
"ARTICULOS DE LIMPIEZA                             ",201706,64,345.0508
"MIEL DE ABEJA                                     ",201706,6,68.9946
"BEBIDAS GASEOSAS                                  ",201706,23,209.949
"EMBUTIDOS                                         ",201706,281,693.270107
"LEJIAS                                            ",201706,4,45.59
"CERVEZAS                                          ",201706,1,91.83
"GRASAS INDUSTRIALES                               ",201706,100,4070.69
"ARTICULOS PARA BEBE                               ",201706,26,1600.302
"GELATINAS                                         ",201706,3,0
"PAPEL HIGIENICO                                   ",201706,180,5480.900003
"SUAVIZANTES                                       ",201706,5,255.16
"PANES Y KEKES                                     ",201706,172,548.1464
"AVENAS                                            ",201706,62,0
"HARINAS INDUSTRIALES                              ",201706,750,52686.119999
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201706,2,0
"JUGOS                                             ",201706,5,115.1468
"INFUSIONES                                        ",201706,640,547.590016
"GOLOSINAS - MARSHMALLOWS                          ",201706,2,56.64
"CONSERVAS DE FRUTAS Y VERDURAS                    ",201706,30,6.31578
"PAÑALES                                           ",201706,2,155.88
"JABON DE TOCADOR                                  ",201706,16,319.1874
"GOLOSINAS                                         ",201706,145,513.54
"VINOS                                             ",201706,17,4811.2
"POSTRES VARIOS                                    ",201706,35,628.16
"BOCADITOS                                         ",201706,85,352.38
"OTROS",201706,11,1541.830001
"SAL                                               ",201706,12,46.728
"GUANTES                                           ",201706,24,102.919999
"COCOAS Y CHOCOLATES                               ",201706,9,1164.96
"AGUA MINERAL                                      ",201706,11,113.905
"PIZZAS                                            ",201706,4,9.52
"LECHE Y DERIVADOS                                 ",201706,2,103.8426
"LAVAVAJILLAS Y SIMILARES                          ",201706,1,91.130001
"DENTRIFICOS Y ENJUAGUES BUCALES                   ",201706,15,1073.01
"HELADOS                                           ",201706,3,73.27
"CONDIMENTOS Y VINAGRES                            ",201706,14,1731.489358
"CEREALES Y DERIVADOS DE LA SOYA                   ",201706,48,308.960002
"AZUCAR                                            ",201706,630,77490
"COCINA                                            ",201706,20,240.5548
"ALCOHOL                                           ",201706,100,156
"JABON DE LAVAR                                    ",201706,50,3780.84
"ENSERES DE LIMPIEZA                               ",201707,635,7025.104797
"PAPEL HIGIENICO                                   ",201707,16632,242432.633622
"HELADOS                                           ",201707,314,10556.475978
"DENTRIFICOS Y ENJUAGUES BUCALES                   ",201707,683,7132.800009
"HARINAS - MAIZENAS - SEMOLAS                      ",201707,4127,113346.571114
"PASTAS PARA CALZADO Y SIMILARES                   ",201707,23,3551.820001
"GOLOSINAS - CARAMELOS                             ",201707,528,20378.466199
"RON                                               ",201707,237,40475.650007
"VODKA                                             ",201707,9,1788.589999
"GUANTES                                           ",201707,120,418.429997
"PILAS                                             ",201707,100,26320.739998
"GOLOSINAS                                         ",201707,538,5435.279207
"PIZZAS                                            ",201707,163,481.54
"LAVAVAJILLAS Y SIMILARES                          ",201707,526,17697.02
"PANETONES                                         ",201707,129017,333560.387675
"BOCADITOS                                         ",201707,6262,39003.811399
"GOLOSINAS - MARSHMALLOWS                          ",201707,171,5604.870001
"ARTICULOS DIVERSOS                                ",201707,452,1184.7672
"INFUSIONES                                        ",201707,153,6923.140006
"ARROZ A GRANEL                                    ",201707,4000,194318.62815
"ARROZ EMBOLSADO                                   ",201707,329,2098.530845
"POSTRES VARIOS                                    ",201707,1320,23661.748401
"GRASAS INDUSTRIALES                               ",201707,1800,40990.8592
"VINOS                                             ",201707,64,2432.499998
"CIGARROS                                          ",201707,43,5277.130005
"LECHE Y DERIVADOS                                 ",201707,3585,169425.623174
"CEREALES Y DERIVADOS DE LA SOYA                   ",201707,4382,27865.544806
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201707,1617,33958.59878
"MANTEQUILLAS Y MARGARINAS                         ",201707,1747,23250.085477
"SALSAS - CREMAS                                   ",201707,1014,40242.21765
"CAFE                                              ",201707,263,38374.426014
"FRUTOS Y ESPECIAS                                 ",201707,1966,41596.021918
"CONDIMENTOS Y VINAGRES                            ",201707,1003,39037.299996
"CONSERVAS DE FRUTAS Y VERDURAS                    ",201707,280,12888.804564
"CERAS                                             ",201707,48,176.040001
"JUGOS                                             ",201707,1725,29359.679117
"HARINAS INDUSTRIALES                              ",201707,3750,186354.699398
"AZUCAR EMBOLSADA Y DERIVADOS                      ",201707,3030,57942.51521
"PRODUCTOS DIVERSOS                                ",201707,40,126.88
"JABON DE LAVAR                                    ",201707,4284,176380.963087
"HUEVOS                                            ",201707,360,2447.200002
"FIDEOS Y PASTAS                                   ",201707,19984,293155.286444
"ACEITES                                           ",201707,24769,1131708.178905
"GOLOSINAS - CHOCOLATES                            ",201707,1678,20923.988008
"PAÑALES                                           ",201707,1342,81950.890407
"CONSERVAS DE PESCADOS                             ",201707,362,43093.387045
"GELATINAS                                         ",201707,1616,44216.151108
"AGUA MINERAL                                      ",201707,2028,26601.339006
"AZUCAR                                            ",201707,13780,982319.483188
"PAÑUELOS                                          ",201707,8,882.5928
"OTROS",201707,978,373071.01401
"ARTICULOS DE REPOSTERIA                           ",201707,85,6698.679517
"SUAVIZANTES                                       ",201707,131,3259.060008
"ENERGIZANTE                                       ",201707,132,2743.095597
"MENESTRAS Y GRANOS                                ",201707,1419,77828.456864
"FOSFORO                                           ",201707,1560,165377.85012
"DETERGENTES                                       ",201707,6192,344586.94059
"MAQUINAS Y ESPUMAS DE AFEITAR                     ",201707,16,5161.06
"CEPILLOS                                          ",201707,60,2025.910004
"REFRESCOS                                         ",201707,207,7772.209288
"CERVEZAS                                          ",201707,949,30750.044013
"ARTICULOS DE LIMPIEZA                             ",201707,928,8412.277413
"AMBIENTADORES                                     ",201707,4,167.580002
"WHISKY                                            ",201707,15,2470.45
"AVENAS                                            ",201707,2846,0
"EMBUTIDOS                                         ",201707,12009,32714.262431
"ARTICULOS PARA BEBE                               ",201707,144,3736.72839
"SAL                                               ",201707,3462,51633.819476
"JABON DE TOCADOR                                  ",201707,894,8866.899599
"DESODORANTES                                      ",201707,171,8764.159986
"YOGURT                                            ",201707,4406,98098.952475
"REHIDRATANTES                                     ",201707,573,7028.702598
"SERVILLETAS Y PAPEL TOALLA                        ",201707,1282,23412.200734
"LEJIAS                                            ",201707,1749,30328.980005
"GOLOSINAS - GALLETAS                              ",201707,10939,139139.896184
"PANES Y KEKES                                     ",201707,9791,30227.965003
"BEBIDAS GASEOSAS                                  ",201707,4245,63727.158126
"TALCOS                                            ",201707,6,352.44
"MEDICINAS                                         ",201707,10,9575.159998
"TOALLAS HIGIENICAS                                ",201707,121,9380.1882
"COMIDAS INSTANTANEAS                              ",201707,2313,38025.613012
"ENJUAGUES DE ROPA                                 ",201707,240,18629.280001
"HIDRATANTES CORPORALES                            ",201707,5,93.089999
"PASTAS DE TOMATE                                  ",201707,661,11995.559151
"DESINFECTANTES                                    ",201707,26,1201.99
"OTROS                                             ",201707,36,241.2
"COCOAS Y CHOCOLATES                               ",201707,510,52309.44001
"LICOR                                             ",201707,6,767.480001
"INSECTICIDAS                                      ",201707,37,306.859999
"OTROS",201708,6,2419
